"X","date","swe","snow_depth","precip","airtemp","airtemp_max","airtemp_avg","soilm_p2","soilm_p4","soilm_p8","soilm_p20","soilm_p40","site_code","state","year","doy","month","density_calc","d_soilm_p2","peak_swe","sm_pulse_flag"
1,2015-01-01,20.828,86.36,0.508,-15.2777777777778,-9,-13.3888888888889,11.7,12.2,10,11.4,14.1,531,"CO",2015,1,1,241.176470588235,0,144,0
2,2015-01-02,21.336,88.9,0,-17.3888888888889,-6.5,-14.1111111111111,11.7,11.1,9.1,11.3,14.2,531,"CO",2015,2,1,240,0,144,0
3,2015-01-03,21.336,86.36,0.508,-15.2777777777778,-8.27777777777778,-14,11.4,11.7,9.4,11.1,14.1,531,"CO",2015,3,1,247.058823529412,-0.299999999999999,144,0
4,2015-01-04,21.844,91.44,0.254,-16.7777777777778,-6.77777777777778,-11,11.7,11,9,10.9,13.7,531,"CO",2015,4,1,238.888888888889,0.299999999999999,144,0
5,2015-01-05,22.098,91.44,0,-8.61111111111111,1.11111111111111,-3.5,11,11.9,8.7,10.9,14.1,531,"CO",2015,5,1,241.666666666667,-0.699999999999999,144,0
6,2015-01-06,22.352,88.9,0,-3.61111111111111,1.61111111111111,-3,11.5,11.9,9.4,10.7,13.9,531,"CO",2015,6,1,251.428571428571,0.5,144,0
7,2015-01-07,22.352,88.9,0,-5.27777777777778,2,-3,11.2,11.2,9,10.4,14.1,531,"CO",2015,7,1,251.428571428571,-0.300000000000001,144,0
8,2015-01-08,22.352,86.36,0,-2.27777777777778,1.61111111111111,-1.77777777777778,11.9,11.6,8.7,10.4,14.1,531,"CO",2015,8,1,258.823529411765,0.700000000000001,144,0
9,2015-01-09,22.352,86.36,0,-4.5,0.277777777777778,-4.77777777777778,12,11.3,9.5,10.1,14,531,"CO",2015,9,1,258.823529411765,0.0999999999999996,144,0
10,2015-01-10,22.352,83.82,0,-7.61111111111111,-0.722222222222223,-6.38888888888889,12.2,11.6,9.5,10.1,13.7,531,"CO",2015,10,1,266.666666666667,0.199999999999999,144,0
11,2015-01-11,22.352,83.82,0.508,-7.77777777777778,-2.27777777777778,-7,11.9,11.7,8.7,10.1,13.8,531,"CO",2015,11,1,266.666666666667,-0.299999999999999,144,0
12,2015-01-12,22.86,86.36,0,-10,-4.22222222222222,-9.61111111111111,12,11.2,9.4,10.2,13.6,531,"CO",2015,12,1,264.705882352941,0.0999999999999996,144,0
13,2015-01-13,22.86,86.36,0.254,-10.1111111111111,-4.5,-8.61111111111111,11.1,11.9,8.9,10.1,13.7,531,"CO",2015,13,1,264.705882352941,-0.9,144,0
14,2015-01-14,23.114,88.9,0,-11.2777777777778,-6.11111111111111,-11.8888888888889,12,11.5,8.6,9.9,13.7,531,"CO",2015,14,1,260,0.9,144,0
15,2015-01-15,23.114,88.9,0,-14.6111111111111,-0.777777777777777,-8.11111111111111,12.2,11.8,9.4,10.1,13.9,531,"CO",2015,15,1,260,0.199999999999999,144,0
16,2015-01-16,23.114,88.9,0,-3.77777777777778,0.722222222222221,-3.5,11.9,11.8,9.2,9.8,13.8,531,"CO",2015,16,1,260,-0.299999999999999,144,0
17,2015-01-17,23.114,86.36,0.508,-7.61111111111111,-4.88888888888889,-8.5,11.8,11.4,9.1,10,14,531,"CO",2015,17,1,267.647058823529,-0.0999999999999996,144,0
18,2015-01-18,23.622,91.44,0,-5.27777777777778,-0.388888888888889,-4.27777777777778,12,11.8,8.4,9.8,13.7,531,"CO",2015,18,1,258.333333333333,0.199999999999999,144,0
19,2015-01-19,23.622,88.9,0.508,-5,0,-5.38888888888889,11.6,12,9.5,9.8,13.6,531,"CO",2015,19,1,265.714285714286,-0.4,144,0
20,2015-01-20,24.384,99.06,0.508,-8.38888888888889,-7.61111111111111,-11.3888888888889,11.2,12.4,8.9,9.6,13.3,531,"CO",2015,20,1,246.153846153846,-0.4,144,0
21,2015-01-21,24.892,104.14,0.762,-14.7777777777778,-8.11111111111111,-15.7222222222222,12.3,11.8,9.4,9.8,13.2,531,"CO",2015,21,1,239.024390243902,1.1,144,0
22,2015-01-22,25.4,109.22,0,-22,-11,-18.2777777777778,11.9,12.2,9.4,9.5,13.3,531,"CO",2015,22,1,232.558139534884,-0.4,144,0
23,2015-01-23,25.4,104.14,0.254,-18.7222222222222,-6.5,-13.2222222222222,11.8,11.5,9,9.5,13.3,531,"CO",2015,23,1,243.90243902439,-0.0999999999999996,144,0
24,2015-01-24,25.654,101.6,0,-15,-3,-8.61111111111111,12.2,11.7,9.4,9.7,13.7,531,"CO",2015,24,1,252.5,0.399999999999999,144,0
25,2015-01-25,25.654,99.06,0,-7.27777777777778,0.222222222222221,-5.61111111111111,12,11.8,9,9.5,13.4,531,"CO",2015,25,1,258.974358974359,-0.199999999999999,144,0
26,2015-01-26,25.654,99.06,0,-6.72222222222222,6.61111111111111,-0.277777777777778,11.2,12.3,8.5,9.3,13.3,531,"CO",2015,26,1,258.974358974359,-0.800000000000001,144,0
27,2015-01-27,25.654,96.52,0,-0.722222222222223,8.61111111111111,0.277777777777778,12,11.8,9.2,9.2,13.2,531,"CO",2015,27,1,265.789473684211,0.800000000000001,144,0
28,2015-01-28,25.654,96.52,0,-6.27777777777778,-1.22222222222222,-5.61111111111111,11.7,11.5,8.1,9.1,13.3,531,"CO",2015,28,1,265.789473684211,-0.300000000000001,144,0
29,2015-01-29,25.654,96.52,0,-8.27777777777778,-3.77777777777778,-8.11111111111111,12,11.4,8.4,9,13.3,531,"CO",2015,29,1,265.789473684211,0.300000000000001,144,0
30,2015-01-30,25.908,93.98,0.254,-7.22222222222222,-3,-6.61111111111111,12,11.8,8.8,8.9,13.3,531,"CO",2015,30,1,275.675675675676,0,144,0
31,2015-01-31,26.162,93.98,0.254,-7.77777777777778,-4.22222222222222,-7.77777777777778,11.8,11.2,8.5,8.6,13.3,531,"CO",2015,31,1,278.378378378378,-0.199999999999999,144,0
32,2015-02-01,26.416,96.52,0.254,-12.7222222222222,-8.38888888888889,-12.1111111111111,10.7,11.2,8.6,8.6,13.6,531,"CO",2015,32,2,273.684210526316,-1.1,144,0
33,2015-02-02,26.416,96.52,0.254,-9.38888888888889,-4.77777777777778,-8.22222222222222,11.8,11.3,8.6,8.6,12.9,531,"CO",2015,33,2,273.684210526316,1.1,144,0
34,2015-02-03,26.67,99.06,0,-7.22222222222222,-1.61111111111111,-5.22222222222222,12.1,11.8,9,8.5,13.3,531,"CO",2015,34,2,269.230769230769,0.299999999999999,144,0
35,2015-02-04,26.924,101.6,2.032,-5.5,-2.72222222222222,-5.61111111111111,11.5,12.2,9.2,8.5,13.3,531,"CO",2015,35,2,265,-0.6,144,0
36,2015-02-05,29.21,129.54,0,-6.22222222222222,1.5,-2.72222222222222,11.5,11.6,8.9,8.4,13.3,531,"CO",2015,36,2,225.490196078431,0,144,0
37,2015-02-06,29.21,119.38,0,-1,4.88888888888889,0.611111111111112,12,11.9,9.4,8.2,13.3,531,"CO",2015,37,2,244.68085106383,0.5,144,0
38,2015-02-07,29.21,116.84,0,0.277777777777778,4.88888888888889,-0.388888888888889,11.8,11.4,9.2,8.4,12.8,531,"CO",2015,38,2,250,-0.199999999999999,144,0
39,2015-02-08,29.21,114.3,0,-4.38888888888889,3.77777777777778,-2.27777777777778,11.8,11.2,8.6,8.4,13,531,"CO",2015,39,2,255.555555555556,0,144,0
40,2015-02-09,29.21,111.76,0.254,-4.38888888888889,7.11111111111111,-0.388888888888889,12,11.5,8.5,8.3,13,531,"CO",2015,40,2,261.363636363636,0.199999999999999,144,0
41,2015-02-10,29.21,109.22,0,-3.5,-1.61111111111111,-4.88888888888889,12.2,11.5,9.1,8.3,13.1,531,"CO",2015,41,2,267.441860465116,0.199999999999999,144,0
42,2015-02-11,29.464,109.22,0.254,-8.88888888888889,-2.61111111111111,-8.11111111111111,11.8,11.6,8.4,8.4,13,531,"CO",2015,42,2,269.767441860465,-0.399999999999999,144,0
43,2015-02-12,29.718,111.76,0,-10.6111111111111,1.22222222222222,-5.72222222222222,11.7,12,9.1,8.3,13.1,531,"CO",2015,43,2,265.909090909091,-0.100000000000001,144,0
44,2015-02-13,29.718,111.76,0,-6.61111111111111,3.22222222222222,-4,11.6,12.1,8.5,8.3,13.1,531,"CO",2015,44,2,265.909090909091,-0.0999999999999996,144,0
45,2015-02-14,29.718,109.22,0,-6,7.11111111111111,0.277777777777778,12,11.9,8.4,8.2,12.9,531,"CO",2015,45,2,272.093023255814,0.4,144,0
46,2015-02-15,29.718,106.68,0.254,-1.38888888888889,1.5,-5.38888888888889,12.1,12,9,8.2,13.2,531,"CO",2015,46,2,278.571428571429,0.0999999999999996,144,0
47,2015-02-16,29.972,111.76,0.508,-13.1111111111111,-8.11111111111111,-14.2222222222222,11.8,12.1,8.3,8.3,13,531,"CO",2015,47,2,268.181818181818,-0.299999999999999,144,0
48,2015-02-17,30.226,114.3,0.254,-17.6111111111111,-11.2777777777778,-14.7222222222222,11.9,12.1,9.1,8.3,12.9,531,"CO",2015,48,2,264.444444444444,0.0999999999999996,144,0
49,2015-02-18,30.48,114.3,0,-12,-1.77777777777778,-7.27777777777778,11.6,11.7,8.6,8.2,12.6,531,"CO",2015,49,2,266.666666666667,-0.300000000000001,144,0
50,2015-02-19,30.734,111.76,0,-4.22222222222222,1.5,-3.11111111111111,11.8,11.8,8.4,8.3,12.8,531,"CO",2015,50,2,275,0.200000000000001,144,0
51,2015-02-20,30.734,111.76,0.762,-4.72222222222222,-2.77777777777778,-8.27777777777778,12.3,12,8.7,8.3,12.5,531,"CO",2015,51,2,275,0.5,144,0
52,2015-02-21,31.496,119.38,0.254,-13.3888888888889,-5.77777777777778,-12.7222222222222,12,12.1,8.8,8.4,12.6,531,"CO",2015,52,2,263.829787234043,-0.300000000000001,144,0
53,2015-02-22,32.004,121.92,0.762,-18.3888888888889,-16.7222222222222,-19.2777777777778,11.8,12.1,8.9,8.4,12.6,531,"CO",2015,53,2,262.5,-0.199999999999999,144,0
54,2015-02-23,32.512,124.46,0.508,-20,-1.5,-10.2222222222222,11.7,11.9,9.2,8.1,12.6,531,"CO",2015,54,2,261.224489795918,-0.100000000000001,144,0
55,2015-02-24,32.766,121.92,0,-13.8888888888889,-2.38888888888889,-10.7222222222222,11.9,11.4,8.8,8,12.4,531,"CO",2015,55,2,268.75,0.200000000000001,144,0
56,2015-02-25,33.02,121.92,1.016,-9.27777777777778,-5.38888888888889,-10.7222222222222,12,11.6,8.6,8,12.4,531,"CO",2015,56,2,270.833333333333,0.0999999999999996,144,0
57,2015-02-26,34.036,132.08,0,-16.3888888888889,-9.11111111111111,-16.2222222222222,12,11.2,8.6,7.9,12.4,531,"CO",2015,57,2,257.692307692308,0,144,0
58,2015-02-27,34.29,132.08,0.254,-17.2222222222222,-8.72222222222222,-14.7222222222222,11.7,11.7,8.3,7.8,12.8,531,"CO",2015,58,2,259.615384615385,-0.300000000000001,144,0
59,2015-02-28,34.544,132.08,0.762,-17.3888888888889,-5.22222222222222,-12.7222222222222,11.7,12.3,8.4,7.8,12.5,531,"CO",2015,59,2,261.538461538461,0,144,0
60,2015-03-01,35.052,132.08,0.508,-11.2777777777778,-4.5,-8.27777777777778,11.5,12,8.8,7.6,12.5,531,"CO",2015,60,3,265.384615384615,-0.199999999999999,144,0
61,2015-03-02,35.56,134.62,0.508,-8.11111111111111,0.722222222222221,-4.88888888888889,11.7,11.8,8.3,7.4,12.6,531,"CO",2015,61,3,264.150943396226,0.199999999999999,144,0
62,2015-03-03,36.068,137.16,0.254,-11.3888888888889,-5.5,-11,11.8,11.8,8.2,7.3,12.7,531,"CO",2015,62,3,262.962962962963,0.100000000000001,144,0
63,2015-03-04,36.322,137.16,0.254,-16.2222222222222,-14.2777777777778,-18.3888888888889,11.3,12.1,7.8,7,12.5,531,"CO",2015,63,3,264.814814814815,-0.5,144,0
64,2015-03-05,36.576,139.7,0.254,-21.1111111111111,-5.22222222222222,-13.2222222222222,12.1,11.4,8,6.6,12.3,531,"CO",2015,64,3,261.818181818182,0.799999999999999,144,0
65,2015-03-06,36.83,134.62,0,-13.2222222222222,0.722222222222221,-8.27777777777778,12.2,11.8,8.2,6.6,12.4,531,"CO",2015,65,3,273.584905660377,0.0999999999999996,144,0
66,2015-03-07,36.83,132.08,0,-11.2777777777778,4.88888888888889,-4.72222222222222,11.6,12.1,8,6.5,12.4,531,"CO",2015,66,3,278.846153846154,-0.6,144,0
67,2015-03-08,36.83,132.08,0,-9.5,2.5,-5.72222222222222,11.8,11.4,8.1,6.3,12.2,531,"CO",2015,67,3,278.846153846154,0.200000000000001,144,0
68,2015-03-09,36.83,129.54,0,-9.27777777777778,1.5,-6.61111111111111,11.5,11.8,7.8,6.5,12.4,531,"CO",2015,68,3,284.313725490196,-0.300000000000001,144,0
69,2015-03-10,36.83,129.54,0,-11,3.72222222222222,-5,11.7,10.9,8.2,5.9,12.2,531,"CO",2015,69,3,284.313725490196,0.199999999999999,144,0
70,2015-03-11,36.83,127,0,-7.61111111111111,5.88888888888889,-1.77777777777778,12,11.9,8.2,6,12.1,531,"CO",2015,70,3,290,0.300000000000001,144,0
71,2015-03-12,36.83,127,0,-3.61111111111111,3.88888888888889,-2.72222222222222,11.5,11.3,8,5.7,11.9,531,"CO",2015,71,3,290,-0.5,144,0
72,2015-03-13,36.83,127,0.508,-5.77777777777778,1.61111111111111,-4.61111111111111,11.8,11.7,8.4,5.7,12.2,531,"CO",2015,72,3,290,0.300000000000001,144,0
73,2015-03-14,37.338,127,0,-9.22222222222222,7.77777777777778,-2.88888888888889,11.7,11.9,8.5,5.4,12.5,531,"CO",2015,73,3,294,-0.100000000000001,144,0
74,2015-03-15,37.338,127,0,-3.11111111111111,13,3.22222222222222,12.1,11.5,8,5.3,12.3,531,"CO",2015,74,3,294,0.4,144,0
75,2015-03-16,37.338,121.92,0,0.277777777777778,11.1111111111111,2.88888888888889,11.7,11.9,8.7,5,11.9,531,"CO",2015,75,3,306.25,-0.4,144,0
76,2015-03-17,37.338,119.38,0,-3,7.72222222222222,0,12.2,12.2,7.8,5,11.8,531,"CO",2015,76,3,312.765957446808,0.5,144,0
77,2015-03-18,37.338,119.38,0.254,0.722222222222221,5.61111111111111,-0.222222222222221,13.8,12.7,8.4,4.9,12.1,531,"CO",2015,77,3,312.765957446808,1.6,144,0
78,2015-03-19,37.592,124.46,0.254,-4.72222222222222,1.27777777777778,-4.5,14,12.9,9.1,5.3,12.3,531,"CO",2015,78,3,302.040816326531,0.199999999999999,144,0
79,2015-03-20,38.1,121.92,0,-9.88888888888889,5.72222222222222,-3.72222222222222,14,13.5,8.4,5.4,12.2,531,"CO",2015,79,3,312.5,0,144,0
80,2015-03-21,38.354,119.38,0,-5.88888888888889,7.38888888888889,-0.88888888888889,14.5,13.7,8.7,5.6,11.6,531,"CO",2015,80,3,321.276595744681,0.5,144,0
81,2015-03-22,38.608,116.84,0,-4.27777777777778,6.77777777777778,0,15.1,15,9.3,5.8,12.2,531,"CO",2015,81,3,330.434782608696,0.6,144,0
82,2015-03-23,38.608,116.84,0.762,-3.88888888888889,5.5,-1.77777777777778,15.1,14.5,9.3,5.9,11.6,531,"CO",2015,82,3,330.434782608696,0,144,0
83,2015-03-24,39.116,121.92,0.254,-7.88888888888889,0.499999999999999,-5.88888888888889,15.6,15.1,9.6,6.1,11.5,531,"CO",2015,83,3,320.833333333333,0.5,144,0
84,2015-03-25,39.37,124.46,0.762,-6.11111111111111,-6,-9.5,16.6,14.6,9.5,6,11.5,531,"CO",2015,84,3,316.326530612245,1,144,0
85,2015-03-26,40.132,134.62,0,-11.1111111111111,0.277777777777778,-5.5,16.5,14.7,8.9,6.5,11.8,531,"CO",2015,85,3,298.11320754717,-0.100000000000001,144,0
86,2015-03-27,40.132,129.54,0,-3.38888888888889,5.72222222222222,-0.388888888888889,16.1,16.1,9.5,6.5,11.9,531,"CO",2015,86,3,309.803921568628,-0.399999999999999,144,0
87,2015-03-28,40.132,124.46,0,-1.27777777777778,9.77777777777778,2.38888888888889,16.1,16.8,9.8,6.7,11.9,531,"CO",2015,87,3,322.448979591837,0,144,0
88,2015-03-29,40.132,121.92,0,-3.11111111111111,7.61111111111111,0,16.8,19,10,7,12.1,531,"CO",2015,88,3,329.166666666667,0.699999999999999,144,0
89,2015-03-30,40.132,121.92,0,-1.27777777777778,8.22222222222222,1.27777777777778,18.6,28.1,20.5,7.1,11.8,531,"CO",2015,89,3,329.166666666667,1.8,144,1
90,2015-03-31,40.132,119.38,0,-1.77777777777778,10.2222222222222,2.88888888888889,32,31.9,11.5,7.3,11.7,531,"CO",2015,90,3,336.170212765958,13.4,144,0
91,2015-04-01,40.132,116.84,0,0.277777777777778,6,-0.277777777777778,36,34.9,11.6,7.2,12,531,"CO",2015,91,4,343.478260869565,4,144,0
92,2015-04-02,39.878,116.84,0.508,-4.27777777777778,NA,NA,36.8,35.4,12.1,7.4,11.7,531,"CO",2015,92,4,341.304347826087,0.799999999999997,144,0
93,2015-04-03,40.132,119.38,0.254,-13.1111111111111,-1.5,-9.27777777777778,36.8,NA,NA,NA,NA,531,"CO",2015,93,4,336.170212765958,0,144,0
94,2015-04-04,40.64,127,0,-10.5,6.61111111111111,-2.27777777777778,37.1,34.6,12.9,7.9,12.1,531,"CO",2015,94,4,320,0.300000000000004,144,0
95,2015-04-05,40.64,121.92,0,-3.61111111111111,8.72222222222222,0.722222222222221,37.1,35.1,13.3,8.2,11.8,531,"CO",2015,95,4,333.333333333333,0,144,0
96,2015-04-06,40.64,116.84,0,-1.77777777777778,8.38888888888889,1.11111111111111,37.6,36.6,13.3,8.4,11.9,531,"CO",2015,96,4,347.826086956522,0.5,144,0
97,2015-04-07,40.64,114.3,0,-3,7.5,-0.111111111111111,38.6,39.9,13.8,8.8,11.9,531,"CO",2015,97,4,355.555555555556,1,144,0
98,2015-04-08,40.64,114.3,0,-4.72222222222222,4.88888888888889,-3.72222222222222,39.1,40.3,13.8,9.1,11.8,531,"CO",2015,98,4,355.555555555556,0.5,144,0
99,2015-04-09,40.386,114.3,0,-10.8888888888889,2,-5.38888888888889,39.2,40.3,14.2,9.7,12.2,531,"CO",2015,99,4,353.333333333333,0.100000000000001,144,0
100,2015-04-10,39.878,111.76,0.254,-7.61111111111111,7.72222222222222,-2.38888888888889,39.2,40.3,15,10.5,11.7,531,"CO",2015,100,4,356.818181818182,0,144,0
101,2015-04-11,40.894,124.46,0,-4.72222222222222,7.61111111111111,-0.222222222222221,39.4,40.4,15.1,11.7,11.8,531,"CO",2015,101,4,328.571428571429,0.199999999999996,144,0
102,2015-04-12,40.894,111.76,0,-3,4,-1.61111111111111,39.5,40.5,15.5,12.5,11.8,531,"CO",2015,102,4,365.909090909091,0.100000000000001,144,0
103,2015-04-13,40.894,111.76,0,-3.38888888888889,8.22222222222222,0.222222222222221,39.5,40.4,16.3,13.4,11.7,531,"CO",2015,103,4,365.909090909091,0,144,0
104,2015-04-14,40.386,106.68,0,-3.88888888888889,10.3888888888889,2.11111111111111,39.7,40.6,16.6,14.1,11.9,531,"CO",2015,104,4,378.571428571429,0.200000000000003,144,0
105,2015-04-15,39.878,104.14,0.254,-2.27777777777778,3.38888888888889,-4,40,40.6,16.9,15.7,12,531,"CO",2015,105,4,382.926829268293,0.299999999999997,144,0
106,2015-04-16,40.132,106.68,2.032,-8.88888888888889,-1.61111111111111,-6.61111111111111,39.9,40.6,17.4,17.9,12.2,531,"CO",2015,106,4,376.190476190476,-0.100000000000001,144,0
107,2015-04-17,40.64,109.22,2.032,-6.88888888888889,-0.111111111111111,-7.38888888888889,39.7,40.6,17.6,18.9,12.1,531,"CO",2015,107,4,372.093023255814,-0.199999999999996,144,0
108,2015-04-18,42.672,127,0.508,-10.6111111111111,-1.77777777777778,-7.11111111111111,39.5,39.7,18.6,19.1,12.7,531,"CO",2015,108,4,336,-0.200000000000003,144,0
109,2015-04-19,43.18,127,0.254,-8.38888888888889,-0.777777777777777,-6,39.1,39.1,18.7,18.7,12.7,531,"CO",2015,109,4,340,-0.399999999999999,144,0
110,2015-04-20,43.434,124.46,1.524,-8.11111111111111,0.111111111111113,-5.27777777777778,38.4,38.8,19.2,18.3,13.1,531,"CO",2015,110,4,348.979591836735,-0.700000000000003,144,0
111,2015-04-21,44.958,149.86,0,-5.5,5.38888888888889,-1.77777777777778,37.7,38.4,19,18.1,13.6,531,"CO",2015,111,4,300,-0.699999999999996,144,0
112,2015-04-22,44.958,137.16,0.762,-5.38888888888889,7.61111111111111,-0.777777777777777,39.5,39.7,18.9,18,13.5,531,"CO",2015,112,4,327.777777777778,1.8,144,0
113,2015-04-23,45.466,134.62,0.254,-4.88888888888889,8.11111111111111,-1,40.4,40.2,19.3,18.1,13.6,531,"CO",2015,113,4,337.735849056604,0.899999999999999,144,0
114,2015-04-24,45.466,129.54,0,-4.88888888888889,4.61111111111111,-2.38888888888889,40.5,40.2,19.7,19,13.8,531,"CO",2015,114,4,350.980392156863,0.100000000000001,144,0
115,2015-04-25,45.466,129.54,0.508,-4,6.61111111111111,-0.88888888888889,40.5,40.2,20.1,20.2,14.1,531,"CO",2015,115,4,350.980392156863,0,144,0
116,2015-04-26,45.72,132.08,2.794,-4,-0.111111111111111,-3.61111111111111,40.1,40.1,20.1,20.2,14.1,531,"CO",2015,116,4,346.153846153846,-0.399999999999999,144,0
117,2015-04-27,48.514,152.4,0.254,-5.5,5.11111111111111,-2.61111111111111,39.8,39.2,19.8,19.9,14.7,531,"CO",2015,117,4,318.333333333333,-0.300000000000004,144,0
118,2015-04-28,48.26,144.78,0,-6.77777777777778,8.77777777777778,-1,40.6,39.5,20.2,19.7,14.8,531,"CO",2015,118,4,333.333333333333,0.800000000000004,144,0
119,2015-04-29,47.752,134.62,0,-3.5,10.7777777777778,3,40.7,39.6,20.1,20.8,15,531,"CO",2015,119,4,354.716981132075,0.100000000000001,144,0
120,2015-04-30,46.99,129.54,0,2.22222222222222,12.8888888888889,4.38888888888889,40.7,39.6,20.2,22.5,15.5,531,"CO",2015,120,4,362.745098039216,0,144,0
121,2015-05-01,46.228,124.46,0,-0.722222222222223,11,2.27777777777778,40.7,39.6,20.3,23.5,15.9,531,"CO",2015,121,5,371.428571428571,0,144,0
122,2015-05-02,45.72,121.92,0,0.111111111111113,11.7777777777778,3.38888888888889,40.7,39.6,20.2,23.9,17,531,"CO",2015,122,5,375,0,144,0
123,2015-05-03,45.466,121.92,0.254,0.222222222222221,12.2222222222222,2.38888888888889,40.7,39.6,20.2,23.9,17.7,531,"CO",2015,123,5,372.916666666667,0,144,0
124,2015-05-04,44.958,114.3,1.524,-1.11111111111111,7,0.388888888888891,40.7,39.6,20.2,23.8,18.2,531,"CO",2015,124,5,393.333333333333,0,144,0
125,2015-05-05,45.974,124.46,0.762,-1.22222222222222,4,0.222222222222221,40.7,39.5,20.2,23.5,18.5,531,"CO",2015,125,5,369.387755102041,0,144,0
126,2015-05-06,46.482,116.84,0.762,-1,7.5,0.277777777777778,40.6,39.6,20.4,23.7,18.6,531,"CO",2015,126,5,397.826086956522,-0.100000000000001,144,0
127,2015-05-07,46.99,124.46,0,-2.38888888888889,8.22222222222222,0.999999999999998,40.7,39.6,20.4,24,19.1,531,"CO",2015,127,5,377.551020408163,0.100000000000001,144,0
128,2015-05-08,45.974,119.38,2.286,-1.77777777777778,5.5,-0.722222222222223,40.7,39.6,20.6,23.9,19.8,531,"CO",2015,128,5,385.106382978723,0,144,0
129,2015-05-09,48.006,121.92,2.032,-2.5,2.72222222222222,-3.38888888888889,40.7,39.6,20.3,23.4,20.6,531,"CO",2015,129,5,393.75,0,144,0
130,2015-05-10,50.292,142.24,1.016,-8.72222222222222,-0.277777777777778,-6.72222222222222,40.6,39.6,20.4,22.9,20.9,531,"CO",2015,130,5,353.571428571429,-0.100000000000001,144,0
131,2015-05-11,50.8,144.78,0,-7.77777777777778,5,-3.22222222222222,40.5,39.6,20.5,22.4,20.4,531,"CO",2015,131,5,350.877192982456,-0.100000000000001,144,0
132,2015-05-12,50.546,134.62,0,-5.27777777777778,11.1111111111111,2.5,40.7,39.6,20.6,22.2,20.1,531,"CO",2015,132,5,375.471698113208,0.200000000000003,144,0
133,2015-05-13,50.038,129.54,0,0,8.61111111111111,1.77777777777778,40.7,39.6,20.3,24.1,20.5,531,"CO",2015,133,5,386.274509803922,0,144,0
134,2015-05-14,49.784,124.46,0.254,-1.22222222222222,8.72222222222222,1.77777777777778,40.7,39.6,20.5,23.7,21,531,"CO",2015,134,5,400,0,144,0
135,2015-05-15,49.276,119.38,0.508,-1,6,-1.27777777777778,40.7,39.7,20.6,23.6,21.6,531,"CO",2015,135,5,412.765957446808,0,144,0
136,2015-05-16,50.038,129.54,0.254,-7.61111111111111,5,-3.38888888888889,40.6,39.6,20.6,23.3,22.1,531,"CO",2015,136,5,386.274509803922,-0.100000000000001,144,0
137,2015-05-17,49.784,129.54,0.508,-5.22222222222222,5.72222222222222,-0.88888888888889,40.3,39.5,20.4,22.4,21.6,531,"CO",2015,137,5,384.313725490196,-0.300000000000004,144,0
138,2015-05-18,49.784,127,3.302,-2.72222222222222,5.11111111111111,-1.11111111111111,40.6,39.6,20.3,22,21.1,531,"CO",2015,138,5,392,0.300000000000004,144,0
139,2015-05-19,53.086,147.32,2.54,-2.38888888888889,5.22222222222222,-2.11111111111111,40.7,39.6,20.7,22.1,21,531,"CO",2015,139,5,360.344827586207,0.100000000000001,144,0
140,2015-05-20,55.372,160.02,0.254,-4.61111111111111,5.5,-0.777777777777777,40.6,39.6,20.5,21.9,21,531,"CO",2015,140,5,346.031746031746,-0.100000000000001,144,0
141,2015-05-21,55.372,154.94,0.508,-3.22222222222222,6,-0.222222222222221,39.9,39.5,20.6,21.6,20.8,531,"CO",2015,141,5,357.377049180328,-0.700000000000003,144,0
142,2015-05-22,56.134,154.94,0.762,-2.38888888888889,8.77777777777778,0.388888888888891,40.6,39.4,20.6,21.9,20.6,531,"CO",2015,142,5,362.295081967213,0.700000000000003,144,0
143,2015-05-23,55.88,142.24,0.762,-2.72222222222222,4.61111111111111,-2.5,40.6,39.5,20.6,22.8,20.8,531,"CO",2015,143,5,392.857142857143,0,144,0
144,2015-05-24,56.642,147.32,0.254,-6,6.11111111111111,-1.38888888888889,40.6,39.4,20.6,22.9,21.3,531,"CO",2015,144,5,384.48275862069,0,144,0
145,2015-05-25,56.388,142.24,0.254,-3.77777777777778,6.61111111111111,-0.222222222222221,40.5,39.5,20.5,22.4,21.3,531,"CO",2015,145,5,396.428571428571,-0.100000000000001,144,0
146,2015-05-26,56.134,139.7,0,-2.38888888888889,10.2222222222222,2,40.6,39.5,20.8,22.4,21.1,531,"CO",2015,146,5,401.818181818182,0.100000000000001,144,0
147,2015-05-27,54.864,137.16,0,0.277777777777778,11.5,3.5,40.7,39.6,20.9,23.7,22.5,531,"CO",2015,147,5,400,0.100000000000001,144,0
148,2015-05-28,54.102,134.62,0.254,0,10.8888888888889,2.5,40.7,39.6,20.8,24.2,26.3,531,"CO",2015,148,5,401.88679245283,0,144,0
149,2015-05-29,53.086,129.54,0,-2.61111111111111,7.77777777777778,0.499999999999999,40.7,39.6,20.9,24.7,39.6,531,"CO",2015,149,5,409.803921568627,0,144,0
150,2015-05-30,52.07,124.46,0,-2.77777777777778,12.6111111111111,4.22222222222222,40.7,39.6,21,24.6,39.7,531,"CO",2015,150,5,418.367346938775,0,144,0
151,2015-05-31,50.546,124.46,0,3.72222222222222,13.8888888888889,6.88888888888889,40.7,39.6,21,25.3,39.7,531,"CO",2015,151,5,406.122448979592,0,144,0
152,2015-06-01,48.768,119.38,0,5,16.7222222222222,8.22222222222222,40.7,39.6,21.3,25.5,39.8,531,"CO",2015,152,6,408.510638297872,0,144,0
